timestamp,location,latitude,longitude,sector_type,AQI,PM25,PM10,CO,NO2,SO2,O3,air_temperature,humidity,wind_speed,traffic_index,weather_condition,pH,turbidity,DO,TDS,conductivity,water_temperature,chlorine,WQI,water_status,battery,signal_strength,sensor_status
2026-05-21T02:56:40,Sector A,12.9716,77.5946,Residential,34,8.3,19.7,0.29,14.3,2.8,15.3,12.9,45.8,14.0,23.5,Sunny,7.34,2.59,6.55,221.2,180.6,9.6,0.89,69.6,SAFE,99.4,91,ONLINE
2026-05-21T02:56:40,Sector B,12.982,77.601,Residential,36,8.8,16.9,0.3,12.1,1.5,17.9,12.9,45.8,14.0,25.3,Sunny,6.91,1.75,7.68,202.0,267.8,12.1,0.92,84.0,SAFE,98.8,93,ONLINE
2026-05-21T02:56:40,Sector C,12.9605,77.585,Residential,25,6.1,13.8,0.22,10.3,3.2,17.3,12.9,45.8,14.0,14.6,Sunny,7.06,2.03,7.7,195.0,213.1,10.3,0.87,84.6,SAFE,99.5,75,ONLINE
2026-05-21T02:56:40,Industrial Zone A,13.03,77.51,Industrial,84,28.3,44.7,0.79,27.5,12.2,15.5,12.9,45.8,14.0,9.4,Sunny,5.77,9.83,3.31,575.8,719.5,11.6,2.32,0.0,UNSAFE,98.6,91,ONLINE
2026-05-21T02:56:40,Industrial Zone B,12.905,77.49,Industrial,84,28.0,56.1,0.74,24.3,14.0,18.2,12.9,45.8,14.0,16.2,Sunny,6.18,8.22,3.4,585.0,762.3,9.9,2.16,0.0,UNSAFE,100.1,78,ONLINE
2026-05-21T02:56:40,River Station Alpha,12.955,77.64,Water Body,36,8.7,15.9,0.21,11.3,1.7,17.7,12.9,45.8,14.0,5.2,Sunny,7.2,1.61,8.53,136.7,155.3,11.6,0.0,93.6,SAFE,101.5,86,ONLINE
2026-05-21T02:56:40,River Station Beta,12.99,77.68,Water Body,32,7.8,12.9,0.39,15.4,4.1,18.7,12.9,45.8,14.0,15.2,Sunny,7.35,1.43,8.58,121.0,191.6,10.6,0.12,95.8,SAFE,100.9,93,ONLINE
2026-05-21T02:56:40,Lake Reservoir,12.93,77.55,Water Body,39,9.5,22.3,0.23,12.2,3.2,20.9,12.9,45.8,14.0,15.7,Sunny,7.29,2.56,8.21,102.5,113.9,11.2,0.15,87.4,SAFE,101.6,81,ONLINE
2026-05-21T02:56:40,Campus Central,12.978,77.57,Commercial,38,9.2,13.9,0.24,8.8,3.2,16.5,12.9,45.8,14.0,14.5,Sunny,7.69,1.64,6.58,146.7,234.8,10.1,0.93,78.0,SAFE,99.9,80,ONLINE
2026-05-21T02:56:40,Tech Park,12.973,77.62,Commercial,32,7.9,15.6,0.28,13.3,3.4,21.0,12.9,45.8,14.0,13.8,Sunny,7.02,1.7,6.84,148.2,325.8,10.6,0.71,82.3,SAFE,99.7,87,ONLINE
2026-05-21T02:56:40,City Center,12.975,77.59,Traffic Hub,84,28.1,54.2,1.2,45.2,3.0,15.2,12.9,45.8,14.0,60.6,Sunny,7.62,4.97,6.85,307.8,300.6,13.2,0.7,43.0,UNSAFE,99.6,81,ONLINE
2026-05-21T02:56:40,North Highway,13.01,77.58,Traffic Hub,88,30.2,55.4,1.36,45.9,2.0,15.5,12.9,45.8,14.0,54.4,Sunny,7.27,5.97,6.3,276.3,403.3,11.5,0.93,35.3,UNSAFE,98.2,79,ONLINE
2026-05-21T02:56:40,South Highway,12.92,77.6,Traffic Hub,80,26.3,45.1,1.16,45.1,2.1,18.7,12.9,45.8,14.0,36.5,Sunny,6.97,5.67,7.04,258.7,417.9,12.5,0.72,43.5,UNSAFE,100.7,86,ONLINE
2026-05-21T02:56:40,Construction Zone Alpha,12.965,77.53,Construction Area,106,38.0,84.6,0.4,13.6,2.9,18.2,12.9,45.8,14.0,23.6,Sunny,7.12,1.76,6.76,200.4,264.1,10.7,0.78,78.3,SAFE,99.2,75,ONLINE
2026-05-21T02:56:40,Construction Zone Beta,12.995,77.63,Construction Area,116,42.1,76.0,0.41,11.9,4.0,19.6,12.9,45.8,14.0,18.4,Sunny,7.34,1.92,6.75,200.2,216.3,11.6,0.73,79.0,SAFE,98.2,75,ONLINE
2026-05-21T02:56:40,Harbor Terminal,12.94,77.67,Industrial,84,28.2,51.5,0.67,26.7,12.6,17.7,12.9,45.8,14.0,10.5,Sunny,5.56,8.02,2.52,628.2,684.7,11.8,2.3,0.0,UNSAFE,98.6,91,ONLINE
2026-05-21T02:56:40,Recycling Center,13.02,77.54,Industrial,89,30.5,46.1,0.74,28.4,13.0,17.3,12.9,45.8,14.0,12.3,Sunny,5.53,9.95,3.6,557.5,779.5,10.3,2.29,0.0,UNSAFE,99.6,90,ONLINE
2026-05-21T02:56:40,Forest Edge,12.9,77.5,Natural,27,6.7,13.3,0.26,5.0,2.0,11.2,12.9,45.8,14.0,11.6,Sunny,7.1,3.24,7.57,189.5,331.6,11.5,0.74,75.9,SAFE,98.9,80,ONLINE
2026-05-21T03:56:40,Sector A,12.9716,77.5946,Residential,59,16.5,26.6,0.41,23.5,4.0,11.8,15.4,53.4,8.3,20.2,Cloudy,7.28,2.69,6.75,179.1,260.9,15.8,0.68,74.9,SAFE,98.7,94,ONLINE
2026-05-21T03:56:40,Sector B,12.982,77.601,Residential,52,13.3,29.1,0.5,19.0,4.3,8.8,15.4,53.4,8.3,10.0,Cloudy,6.89,2.83,6.73,157.2,330.4,14.7,0.74,69.4,SAFE,99.6,83,ONLINE
2026-05-21T03:56:40,Sector C,12.9605,77.585,Residential,55,14.8,26.1,0.53,16.5,4.9,10.8,15.4,53.4,8.3,21.1,Cloudy,7.33,1.92,7.46,157.9,218.9,13.6,0.85,91.1,SAFE,101.1,90,ONLINE
2026-05-21T03:56:40,Industrial Zone A,13.03,77.51,Industrial,124,45.0,78.2,1.29,39.0,20.3,13.2,15.4,53.4,8.3,10.7,Cloudy,5.94,8.29,2.47,621.0,743.8,14.9,2.19,0.0,UNSAFE,100.3,83,ONLINE
2026-05-21T03:56:40,Industrial Zone B,12.905,77.49,Industrial,114,41.1,85.9,1.25,37.7,20.6,9.4,15.4,53.4,8.3,9.9,Cloudy,6.45,8.1,2.8,570.5,778.8,15.1,2.25,0.0,UNSAFE,100.3,81,ONLINE
2026-05-21T03:56:40,River Station Alpha,12.955,77.64,Water Body,58,16.1,28.6,0.57,21.6,4.7,9.9,15.4,53.4,8.3,19.4,Cloudy,7.23,1.19,8.02,123.6,125.6,14.4,0.03,97.4,SAFE,99.1,87,ONLINE
2026-05-21T03:56:40,River Station Beta,12.99,77.68,Water Body,48,11.7,26.2,0.41,16.8,4.5,10.3,15.4,53.4,8.3,22.9,Cloudy,7.39,2.37,7.62,122.3,193.5,11.9,0.21,87.7,SAFE,99.9,84,ONLINE
2026-05-21T03:56:40,Lake Reservoir,12.93,77.55,Water Body,57,15.6,27.6,0.51,21.0,5.9,11.3,15.4,53.4,8.3,12.8,Cloudy,6.78,1.25,7.78,85.8,223.0,15.1,0.17,90.2,SAFE,101.6,76,ONLINE
2026-05-21T03:56:40,Campus Central,12.978,77.57,Commercial,59,16.5,25.3,0.53,25.4,3.8,9.9,15.4,53.4,8.3,28.1,Cloudy,7.05,2.18,7.61,209.2,230.5,13.5,0.9,82.1,SAFE,101.0,94,ONLINE
2026-05-21T03:56:40,Tech Park,12.973,77.62,Commercial,57,15.6,29.6,0.53,23.0,3.8,8.5,15.4,53.4,8.3,17.0,Cloudy,7.93,1.8,6.4,161.3,199.3,12.7,0.86,70.0,SAFE,98.6,76,ONLINE
2026-05-21T03:56:40,City Center,12.975,77.59,Traffic Hub,111,40.1,78.3,2.08,73.4,5.0,13.8,15.4,53.4,8.3,55.1,Cloudy,6.69,4.9,7.15,330.4,406.3,14.6,0.74,41.0,SAFE,101.2,77,ONLINE
2026-05-21T03:56:40,North Highway,13.01,77.58,Traffic Hub,106,38.0,75.4,1.9,66.2,5.7,9.0,15.4,53.4,8.3,42.2,Cloudy,7.0,6.42,7.22,302.3,327.9,13.6,0.87,36.6,UNSAFE,99.0,78,ONLINE
2026-05-21T03:56:40,South Highway,12.92,77.6,Traffic Hub,115,41.4,76.4,1.96,70.9,4.1,11.1,15.4,53.4,8.3,46.3,Cloudy,7.2,5.84,6.74,241.0,350.1,13.8,0.76,43.4,UNSAFE,99.1,76,ONLINE
2026-05-21T03:56:40,Construction Zone Alpha,12.965,77.53,Construction Area,155,65.3,124.5,0.47,16.2,5.5,12.5,15.4,53.4,8.3,10.5,Cloudy,7.21,2.79,6.99,183.5,230.8,12.7,0.86,75.5,SAFE,100.3,80,ONLINE
2026-05-21T03:56:40,Construction Zone Beta,12.995,77.63,Construction Area,154,64.0,129.4,0.45,16.9,3.9,12.7,15.4,53.4,8.3,11.9,Cloudy,7.0,3.4,7.3,225.3,276.5,13.0,0.83,67.9,SAFE,100.3,92,ONLINE
2026-05-21T03:56:40,Harbor Terminal,12.94,77.67,Industrial,118,42.8,85.2,1.12,37.0,19.5,10.1,15.4,53.4,8.3,10.9,Cloudy,6.56,9.89,3.42,580.2,729.1,11.9,2.14,0.0,UNSAFE,99.3,94,ONLINE
2026-05-21T03:56:40,Recycling Center,13.02,77.54,Industrial,117,42.4,84.2,1.25,44.2,19.8,13.2,15.4,53.4,8.3,22.2,Cloudy,6.22,8.5,3.29,576.0,697.6,14.3,2.28,0.0,UNSAFE,101.6,86,ONLINE
2026-05-21T03:56:40,Forest Edge,12.9,77.5,Natural,35,8.5,15.7,0.36,14.5,1.0,6.8,15.4,53.4,8.3,24.8,Cloudy,7.4,2.82,6.45,185.5,265.8,11.9,0.79,68.5,SAFE,99.1,73,ONLINE
2026-05-21T04:56:40,Sector A,12.9716,77.5946,Residential,62,18.0,28.3,0.49,20.9,4.1,11.0,14.0,70.8,7.0,25.8,Cloudy,7.27,3.09,7.15,188.2,295.6,12.4,0.79,75.6,SAFE,99.5,87,ONLINE
2026-05-21T04:56:40,Sector B,12.982,77.601,Residential,49,11.8,28.4,0.46,17.7,3.9,15.2,14.0,70.8,7.0,19.9,Cloudy,6.6,3.17,7.12,292.6,196.1,13.3,0.73,56.2,SAFE,100.9,80,ONLINE
2026-05-21T04:56:40,Sector C,12.9605,77.585,Residential,62,17.7,28.7,0.57,23.8,5.1,11.9,14.0,70.8,7.0,18.8,Cloudy,7.14,1.82,6.86,192.7,183.7,12.2,0.88,79.9,SAFE,98.3,87,ONLINE
2026-05-21T04:56:40,Industrial Zone A,13.03,77.51,Industrial,136,49.8,98.9,1.4,48.1,22.5,10.5,14.0,70.8,7.0,24.4,Cloudy,6.11,8.72,3.61,544.3,696.1,11.4,2.21,0.0,UNSAFE,99.7,80,ONLINE
2026-05-21T04:56:40,Industrial Zone B,12.905,77.49,Industrial,133,48.6,89.6,1.4,49.0,21.5,15.4,14.0,70.8,7.0,24.5,Cloudy,6.39,8.23,3.73,562.6,678.5,12.6,2.13,0.0,UNSAFE,101.8,88,ONLINE
2026-05-21T04:56:40,River Station Alpha,12.955,77.64,Water Body,54,13.9,30.2,0.38,13.9,6.0,14.5,14.0,70.8,7.0,7.9,Cloudy,7.5,1.38,8.26,119.8,183.2,13.5,0.2,94.0,SAFE,100.6,91,ONLINE
2026-05-21T04:56:40,River Station Beta,12.99,77.68,Water Body,58,15.8,27.3,0.57,22.2,6.6,10.8,14.0,70.8,7.0,14.7,Cloudy,7.06,1.52,7.51,159.6,81.9,12.1,0.25,91.5,SAFE,100.5,91,ONLINE
2026-05-21T04:56:40,Lake Reservoir,12.93,77.55,Water Body,53,13.7,31.5,0.52,16.6,5.2,12.1,14.0,70.8,7.0,5.7,Cloudy,7.61,2.14,7.66,110.2,158.5,12.5,0.24,86.2,SAFE,100.7,75,ONLINE
2026-05-21T04:56:40,Campus Central,12.978,77.57,Commercial,56,15.2,35.4,0.54,23.7,5.1,12.6,14.0,70.8,7.0,16.6,Cloudy,7.04,2.87,6.66,165.2,252.8,14.5,0.88,69.8,SAFE,98.3,90,ONLINE
2026-05-21T04:56:40,Tech Park,12.973,77.62,Commercial,60,17.1,28.0,0.5,18.5,5.3,12.8,14.0,70.8,7.0,28.1,Cloudy,7.33,3.09,6.47,233.4,293.3,13.1,0.72,63.8,SAFE,98.5,81,ONLINE
